idade;classe_trabalho;escolaridade;anos_estudo;estado_civil;raca;sexo;UF;região;qtde_filhos;salario
53;Servidor Público;Ensino Médio Incompleto;9;Casado;Branco;Feminino;SP;Sudeste;4;1180
44;Funcionário Setor Privado;Ensino Médio Completo;10;Casado;Branco;Masculino;PR;Sul;0;3330
51;Funcionário Setor Privado;Ensino Médio Incompleto;9;Casado;Negro;Masculino;SC;Sul;3;1100
49;Funcionário Setor Privado;Ensino Médio Incompleto;9;Casado;Branco;Feminino;RS;Sul;3;1100
35;Funcionário Setor Privado;Ensino Médio Completo;10;Casado;Branco;Masculino;MS;Centro-Oeste;3;2931
44;Funcionário Setor Privado;Ensino Médio Incompleto;9;Divorciado;Branco;Masculino;MT;Centro-Oeste;2;1100
54;Funcionário Setor Privado;Mestrado;14;Casado;Branco;Masculino;GO;Centro-Oeste;5;10123
37;Funcionário Setor Privado;Ensino Médio Completo;10;Divorciado;Negro;Feminino;DF;Centro-Oeste;5;2681
18;Funcionário Setor Privado;Ensino Médio Completo;10;Solteiro;Branco;Feminino;RO;Norte;1;2222
24;Funcionário Setor Privado;Ensino Médio Completo;10;Casado;Branco;Masculino;AC;Norte;0;2686
29;Funcionário Setor Privado;Ensino Médio Incompleto;9;Divorciado;Branco;Feminino;AM;Norte;5;1100
22;;Ensino Médio Completo;10;Divorciado;Branco;Feminino;RR;Norte;4;3166
35;Funcionário Setor Privado;Ensino Médio Incompleto;9;Solteiro;Branco;Masculino;PA;Norte;5;1100
56;Funcionário Setor Privado;Ensino Médio Incompleto;9;Casado;Branco;Masculino;AP;Norte;4;1100
32;;Ensino Fundamental Incompleto;4;Viúvo;Branco;Feminino;TO;Norte;3;1100
24;Funcionário Setor Privado;Ensino Médio Completo;13;Solteiro;Pardo;Masculino;MA;Nordeste;2;2066
43;Funcionário Setor Privado;Mestrado;14;Casado;Branco;Masculino;PI;Nordeste;1;10661
73;Aposentado;Ensino Médio Incompleto;9;Viúvo;Branco;Feminino;CE;Nordeste;5;5596
47;Funcionário Público;Ensino Médio Completo;10;Casado;Branco;Masculino;RN;Nordeste;5;4835
49;Funcionário Setor Privado;Ensino Médio Incompleto;8;Casado;Branco;Masculino;PB;Nordeste;1;1100
38;Funcionário Setor Privado;Ensino Médio Completo;13;Casado;Branco;Masculino;PE;Nordeste;4;3581
31;Funcionário Setor Privado;Ensino Médio Incompleto;9;Casado;Negro;Masculino;AL;Nordeste;5;1100
39;Funcionário Setor Privado;Ensino Médio Completo;10;Divorciado;Indígena;Feminino;SE;Nordeste;0;2786
42;Funcionário Setor Privado;Ensino Médio Completo;13;Divorciado;Branco;Feminino;BA;Nordeste;4;3530
41;Funcionário Setor Privado;Mestrado;14;Casado;Pardo;Masculino;MG;Sudeste;2;8556
35;Funcionário Setor Privado;Ensino Médio Completo;13;Casado;Branco;Masculino;ES;Sudeste;0;3436
38;Funcionário Setor Privado;Ensino Médio Incompleto;9;Casado;Branco;Masculino;RJ;Sudeste;5;1100
31;Funcionário Setor Privado;Ensino Médio Incompleto;9;Divorciado;Branco;Feminino;SP;Sudeste;3;1100
51;Empresário;Ensino Médio Incompleto;9;Casado;Branco;Masculino;PR;Sul;4;7139
38;Funcionário Setor Privado;Ensino Médio Completo;13;Divorciado;Branco;Masculino;SC;Sul;5;3907
40;Empresário;Ensino Médio Completo;10;Casado;Branco;Masculino;RS;Sul;2;17105
21;Funcionário Setor Privado;Ensino Médio Incompleto;9;Solteiro;Branco;Feminino;MS;Centro-Oeste;3;1100
44;Funcionário Setor Privado;Ensino Médio Completo;10;Divorciado;Branco;Masculino;MT;Centro-Oeste;4;3003
55;Funcionário Setor Privado;Ensino Médio Incompleto;9;Casado;Branco;Masculino;GO;Centro-Oeste;0;1100
29;Funcionário Setor Privado;Ensino Médio Incompleto;9;Divorciado;Branco;Masculino;DF;Centro-Oeste;4;1100
49;Funcionário Setor Privado;Mestrado;14;Casado;Branco;Feminino;RO;Norte;2;7631
31;Funcionário Setor Privado;Ensino Médio Completo;11;Casado;Branco;Masculino;AC;Norte;5;2152
24;Funcionário Setor Privado;Mestrado;14;Solteiro;Branco;Masculino;AM;Norte;1;8974
46;Funcionário Setor Privado;Ensino Médio Completo;10;Solteiro;Negro;Masculino;RR;Norte;2;3767
26;Funcionário Setor Privado;Ensino Médio Incompleto;9;Solteiro;Negro;Masculino;PA;Norte;0;1100
35;Funcionário Setor Privado;Ensino Médio Completo;13;Solteiro;Branco;Masculino;AP;Norte;1;2790
27;Funcionário Setor Privado;Ensino Médio Completo;11;Solteiro;Branco;Masculino;TO;Norte;1;3868
64;Autônomo;Ensino Médio Completo;13;Casado;Branco;Masculino;MA;Nordeste;4;2502
26;Funcionário Setor Privado;Ensino Médio Completo;13;Solteiro;Branco;Masculino;PI;Nordeste;1;2639
21;Funcionário Setor Privado;Ensino Médio Incompleto;9;Solteiro;Branco;Feminino;CE;Nordeste;4;1100
45;Funcionário Setor Privado;Ensino Médio Completo;13;Divorciado;Branco;Masculino;RN;Nordeste;3;3177
57;Empresário;Ensino Médio Incompleto;9;Casado;Branco;Masculino;PB;Nordeste;1;1802
30;Funcionário Setor Privado;Ensino Médio Completo;13;Casado;Branco;Masculino;PE;Nordeste;5;2978
45;Funcionário Setor Privado;Ensino Médio Incompleto;7;Casado;Branco;Feminino;AL;Nordeste;1;1100
50;Funcionário Setor Privado;Ensino Fundamental Incompleto;4;Divorciado;Branco;Feminino;SE;Nordeste;1;1100
38;Funcionário Setor Privado;Ensino Médio Completo;13;Solteiro;Branco;Feminino;BA;Nordeste;0;3815
43;Autônomo;Ensino Médio Completo;10;Casado;Branco;Masculino;MG;Sudeste;5;3108
42;Funcionário Setor Privado;Ensino Médio Completo;10;Viúvo;Branco;Feminino;ES;Sudeste;4;2044
32;Funcionário Setor Privado;Ensino Médio Completo;13;Solteiro;Branco;Masculino;RJ;Sudeste;4;2315
20;Funcionário Setor Privado;Ensino Médio Incompleto;9;Solteiro;Branco;Feminino;SP;Sudeste;0;1100
27;Funcionário Setor Privado;Ensino Médio Incompleto;9;Solteiro;Branco;Feminino;PR;Sul;1;1100
45;Funcionário Setor Privado;Ensino Médio Incompleto;7;Viúvo;Branco;Feminino;SC;Sul;4;1100
40;Funcionário Setor Privado;Ensino Médio Incompleto;9;Solteiro;Branco;Feminino;RS;Sul;5;1100
38;Funcionário Setor Privado;Ensino Médio Incompleto;9;Divorciado;Branco;Masculino;MS;Centro-Oeste;2;1100
37;Funcionário Setor Privado;Ensino Médio Incompleto;9;Divorciado;Branco;Feminino;MT;Centro-Oeste;1;1100
60;Funcionário Setor Privado;Ensino Fundamental Completo;6;Divorciado;Branco;Feminino;GO;Centro-Oeste;0;1100
53;Autônomo;Ensino Médio Incompleto;9;Casado;Negro;Masculino;DF;Centro-Oeste;2;1100
25;Funcionário Setor Privado;Ensino Médio Completo;13;Casado;Branco;Feminino;RO;Norte;4;2058
47;Autônomo;Ensino Médio Completo;13;Divorciado;Pardo;Masculino;AC;Norte;5;3699
40;Autônomo;Ensino Médio Incompleto;9;Solteiro;Branco;Masculino;AM;Norte;1;1100
51;;Ensino Médio Incompleto;9;Casado;Branco;Masculino;RR;Norte;4;1100
19;Funcionário Setor Privado;Ensino Médio Completo;10;Solteiro;Branco;Feminino;PA;Norte;1;2929
42;Funcionário Setor Privado;Ensino Médio Completo;10;Casado;Branco;Feminino;AP;Norte;0;2842
65;;Ensino Médio Incompleto;9;Casado;Branco;Masculino;TO;Norte;2;1100
41;Funcionário Setor Privado;Ensino Médio Completo;13;Divorciado;Branco;Feminino;MA;Nordeste;2;3630
28;Funcionário Setor Privado;Ensino Fundamental Completo;6;Solteiro;Negro;Masculino;PI;Nordeste;0;1100
46;Funcionário Setor Privado;Mestrado;14;Divorciado;Branco;Feminino;CE;Nordeste;2;8656
49;Funcionário Setor Privado;Ensino Médio Completo;13;Casado;Branco;Feminino;RN;Nordeste;2;2689
24;Funcionário Setor Privado;Ensino Médio Incompleto;9;Solteiro;Negro;Masculino;PB;Nordeste;2;1100
32;Funcionário Setor Privado;Ensino Médio Incompleto;7;Casado;Branco;Masculino;PE;Nordeste;1;1100
71;Aposentado;Ensino Médio Incompleto;9;Casado;Branco;Masculino;AL;Nordeste;0;3339
26;Funcionário Setor Privado;Ensino Médio Completo;10;Casado;Branco;Masculino;SE;Nordeste;0;3053
29;Funcionário Setor Privado;Ensino Médio Incompleto;9;União Estável;Branco;Masculino;BA;Nordeste;5;1100
50;Funcionário Setor Privado;Ensino Médio Completo;10;Casado;Branco;Masculino;MG;Sudeste;3;2436
51;Funcionário Setor Privado;Ensino Médio Completo;11;Casado;Branco;Masculino;ES;Sudeste;5;3878
17;Menor Aprendiz;Ensino Fundamental Completo;6;Solteiro;Branco;Feminino;RJ;Sudeste;0;1100
49;Funcionário Setor Privado;Ensino Médio Incompleto;9;Casado;Negro;Feminino;SP;Sudeste;3;1100
31;Funcionário Setor Privado;Ensino Fundamental Completo;6;Casado;Branco;Masculino;PR;Sul;1;1100
23;Funcionário Setor Privado;Ensino Médio Incompleto;7;Casado;Branco;Masculino;SC;Sul;3;1100
59;Empresário;Ensino Médio Incompleto;9;Viúvo;Branco;Masculino;RS;Sul;1;15098
17;Menor Aprendiz;Ensino Fundamental Completo;6;Solteiro;Branco;Masculino;MS;Centro-Oeste;1;1100
43;Funcionário Setor Privado;Ensino Médio Completo;10;Casado;Branco;Masculino;MT;Centro-Oeste;2;2367
38;Funcionário Setor Privado;Ensino Médio Completo;13;Casado;Branco;Masculino;GO;Centro-Oeste;2;2477
37;Funcionário Setor Privado;Ensino Médio Incompleto;9;Casado;Branco;Masculino;DF;Centro-Oeste;2;1100
29;Funcionário Setor Privado;Ensino Fundamental Completo;6;Solteiro;Branco;Masculino;RO;Norte;5;1100
39;Funcionário Setor Privado;Ensino Médio Completo;13;Casado;Branco;Masculino;AC;Norte;1;2150
31;Funcionário Setor Privado;Ensino Médio Completo;12;Solteiro;Branco;Masculino;AM;Norte;1;2456
42;Empresário;Ensino Médio Completo;13;União Estável;Branco;Feminino;RR;Norte;0;13781
35;Empresário;Mestrado;14;Casado;Branco;Feminino;PA;Norte;2;12352
39;Funcionário Setor Privado;Mestrado;14;Casado;Pardo;Masculino;AP;Norte;4;7480
40;Funcionário Setor Privado;Ensino Médio Completo;12;Divorciado;Branco;Feminino;TO;Norte;1;3422
66;Aposentado;Ensino Fundamental Incompleto;3;União Estável;Branco;Feminino;MA;Nordeste;4;4172
30;Funcionário Público;Ensino Fundamental Completo;5;Casado;Branco;Masculino;PI;Nordeste;2;1280
43;Funcionário Setor Privado;Ensino Médio Completo;12;Divorciado;Branco;Masculino;CE;Nordeste;1;2224
47;Funcionário Setor Privado;Ensino Fundamental Completo;5;Solteiro;Branco;Feminino;RN;Nordeste;0;1100
45;Funcionário Setor Privado;Mestrado;14;Solteiro;Pardo;Feminino;PB;Nordeste;2;9132
31;Funcionário Setor Privado;Ensino Médio Completo;10;Casado;Negro;Masculino;PE;Nordeste;2;3502
33;Funcionário Setor Privado;Ensino Médio Incompleto;9;Casado;Branco;Masculino;AL;Nordeste;5;1100
32;Funcionário Setor Privado;Ensino Médio Completo;13;Solteiro;Branco;Masculino;SE;Nordeste;0;2152
28;Funcionário Setor Privado;Ensino Médio Completo;12;Casado;Negro;Masculino;BA;Nordeste;0;3557
50;Funcionário Público;Ensino Médio Incompleto;9;Casado;Branco;Masculino;MG;Sudeste;2;1468
63;Funcionário Setor Privado;Ensino Fundamental Incompleto;4;Divorciado;Branco;Feminino;ES;Sudeste;4;1100
28;Funcionário Setor Privado;Ensino Médio Completo;13;Casado;Branco;Masculino;RJ;Sudeste;1;3719
38;Funcionário Setor Privado;Ensino Médio Completo;10;Viúvo;Negro;Feminino;SP;Sudeste;0;3969
52;Funcionário Setor Privado;Ensino Médio Incompleto;9;Divorciado;Branco;Feminino;PR;Sul;0;1100
38;MEI;Mestrado;15;Casado;Pardo;Masculino;SC;Sul;5;4982
41;Funcionário Setor Privado;Ensino Médio Incompleto;9;Solteiro;Branco;Masculino;RS;Sul;4;1100
50;Servidor Público;Mestrado;14;Solteiro;Branco;Masculino;MS;Centro-Oeste;3;9862
59;Funcionário Setor Privado;Ensino Médio Incompleto;7;Casado;Branco;Masculino;MT;Centro-Oeste;2;1100
32;Funcionário Setor Privado;Ensino Médio Incompleto;9;Casado;Branco;Masculino;GO;Centro-Oeste;4;1100
73;Aposentado;Ensino Fundamental Incompleto;4;Casado;Branco;Masculino;DF;Centro-Oeste;1;3242
52;MEI;Ensino Médio Incompleto;9;Divorciado;Branco;Masculino;RO;Norte;3;4034
57;Funcionário Setor Privado;Ensino Médio Incompleto;9;Casado;Branco;Masculino;AC;Norte;2;1100
35;Funcionário Setor Privado;Ensino Médio Completo;11;Casado;Branco;Masculino;AM;Norte;4;3924
51;Funcionário Setor Privado;Ensino Médio Completo;13;Casado;Branco;Masculino;RR;Norte;2;2663
22;Funcionário Setor Privado;Ensino Médio Incompleto;7;Viúvo;Negro;Feminino;PA;Norte;1;1100
49;Funcionário Setor Privado;Ensino Médio Incompleto;9;Casado;Branco;Masculino;AP;Norte;3;1100
22;Funcionário Setor Privado;Ensino Médio Incompleto;9;Solteiro;Negro;Masculino;TO;Norte;2;1100
46;Empresário;Ensino Médio Incompleto;9;Casado;Branco;Masculino;MA;Nordeste;5;13057
48;Funcionário Setor Privado;Ensino Médio Incompleto;9;Divorciado;Branco;Feminino;PI;Nordeste;3;1100
52;Funcionário Setor Privado;Ensino Médio Incompleto;9;Casado;Branco;Masculino;CE;Nordeste;5;1100
43;Servidor Público;Ensino Médio Completo;13;Casado;Branco;Masculino;RN;Nordeste;4;3729
25;Funcionário Setor Privado;Ensino Fundamental Incompleto;4;Casado;Branco;Masculino;PB;Nordeste;2;1100
31;Funcionário Setor Privado;Ensino Fundamental Incompleto;4;Solteiro;Branco;Masculino;PE;Nordeste;1;1100
19;Funcionário Setor Privado;Ensino Médio Completo;10;Solteiro;Branco;Masculino;AL;Nordeste;0;2430
19;;Ensino Médio Completo;10;Solteiro;Branco;Masculino;SE;Nordeste;1;2027
51;Funcionário Setor Privado;Ensino Médio Incompleto;9;Casado;Branco;Masculino;BA;Nordeste;5;1100
51;Funcionário Setor Privado;Ensino Médio Completo;13;Divorciado;Branco;Masculino;MG;Sudeste;0;2985
22;Autônomo;Ensino Médio Incompleto;9;Solteiro;Branco;Feminino;ES;Sudeste;5;1100
37;Empresário;Ensino Médio Incompleto;9;Divorciado;Negro;Feminino;RJ;Sudeste;2;12671
19;Funcionário Setor Privado;Ensino Médio Completo;10;Solteiro;Branco;Feminino;SP;Sudeste;0;3837
45;Funcionário Setor Privado;Ensino Médio Incompleto;9;Divorciado;Branco;Feminino;PR;Sul;3;1100
21;Servidor Público;Ensino Médio Completo;10;Solteiro;Branco;Masculino;SC;Sul;0;5940
52;Funcionário Setor Privado;Ensino Médio Incompleto;9;Viúvo;Branco;Feminino;RS;Sul;3;1100
46;Empresário;Ensino Médio Completo;10;Casado;Branco;Masculino;MS;Centro-Oeste;4;3743
42;Servidor Público;Mestrado;14;Divorciado;Branco;Feminino;MT;Centro-Oeste;5;9282
56;Funcionário Setor Privado;Ensino Médio Incompleto;9;Solteiro;Branco;Masculino;GO;Centro-Oeste;2;1100
23;Funcionário Setor Privado;Ensino Médio Incompleto;9;Solteiro;Branco;Feminino;DF;Centro-Oeste;0;1100
58;Funcionário Setor Privado;Mestrado;14;Casado;Branco;Masculino;RO;Norte;3;8498
70;Aposentado;Ensino Médio Incompleto;9;Casado;Branco;Masculino;AC;Norte;1;3672
30;Funcionário Setor Privado;Ensino Médio Completo;10;Divorciado;Branco;Masculino;AM;Norte;0;2754
45;Funcionário Setor Privado;Ensino Médio Completo;13;Casado;Pardo;Masculino;RR;Norte;1;2406
23;Funcionário Setor Privado;Ensino Médio Completo;10;Solteiro;Branco;Masculino;PA;Norte;1;2462
34;Empresário;Ensino Médio Completo;10;Casado;Branco;Masculino;AP;Norte;4;2284
38;Funcionário Setor Privado;Ensino Médio Completo;13;Casado;Branco;Feminino;TO;Norte;3;3955
24;Funcionário Setor Privado;Ensino Médio Completo;11;Casado;Branco;Masculino;MA;Nordeste;3;2551
53;Funcionário Setor Privado;Ensino Fundamental Incompleto;4;Solteiro;Indígena;Masculino;PI;Nordeste;3;1100
45;Funcionário Público;Ensino Médio Incompleto;9;Solteiro;Negro;Masculino;CE;Nordeste;2;1103
21;;Ensino Médio Completo;10;Solteiro;Branco;Feminino;RN;Nordeste;3;3317
21;Funcionário Setor Privado;Ensino Médio Completo;10;Solteiro;Branco;Feminino;PB;Nordeste;0;3616
34;Funcionário Setor Privado;Ensino Médio Completo;13;Solteiro;Branco;Feminino;PE;Nordeste;4;3577
32;MEI;Ensino Médio Incompleto;9;Casado;Branco;Masculino;AL;Nordeste;3;5811
21;Funcionário Setor Privado;Ensino Médio Incompleto;9;Casado;Branco;Masculino;SE;Nordeste;5;1100
63;;Mestrado;14;Casado;Branco;Masculino;BA;Nordeste;4;2
23;Funcionário Setor Privado;Ensino Fundamental Completo;5;Solteiro;Negro;Masculino;MG;Sudeste;0;1100
28;Funcionário Setor Privado;Ensino Médio Completo;13;Divorciado;Branco;Masculino;ES;Sudeste;4;2482
29;Autônomo;Ensino Médio Incompleto;9;Solteiro;Negro;Masculino;RJ;Sudeste;3;1100
25;Empresário;Ensino Médio Completo;13;Solteiro;Branco;Feminino;SP;Sudeste;1;5050
44;Servidor Público;Mestrado;14;Solteiro;Branco;Feminino;PR;Sul;1;6231
18;Funcionário Setor Privado;Ensino Médio Incompleto;9;Solteiro;Branco;Feminino;SC;Sul;0;1100
26;Funcionário Setor Privado;Ensino Médio Incompleto;9;Solteiro;Branco;Masculino;RS;Sul;5;1100
47;Empresário;Ensino Médio Completo;12;Casado;Branco;Feminino;MS;Centro-Oeste;3;4893
23;Funcionário Setor Privado;Ensino Médio Incompleto;9;Divorciado;Branco;Masculino;MT;Centro-Oeste;2;1100
46;Funcionário Setor Privado;Ensino Médio Completo;10;Casado;Branco;Masculino;GO;Centro-Oeste;0;3348
61;Empresário;Ensino Médio Completo;13;Casado;Branco;Masculino;DF;Centro-Oeste;4;13697
25;Funcionário Setor Privado;Ensino Médio Incompleto;9;Solteiro;Branco;Masculino;RO;Norte;4;1100
38;Empresário;Ensino Médio Incompleto;9;Casado;Pardo;Masculino;AC;Norte;0;4611
60;;Ensino Médio Completo;13;União Estável;Negro;Feminino;AM;Norte;2;2846
23;Funcionário Setor Privado;Ensino Médio Completo;10;Solteiro;Branco;Masculino;RR;Norte;4;3914
36;Funcionário Público;Ensino Médio Incompleto;9;Divorciado;Branco;Feminino;PA;Norte;5;1906
46;Funcionário Setor Privado;Ensino Fundamental Completo;5;Divorciado;Branco;Masculino;AP;Norte;5;1100
32;Autônomo;Ensino Médio Completo;13;Casado;Branco;Masculino;TO;Norte;0;2586
40;Funcionário Setor Privado;Ensino Fundamental Completo;6;Casado;Branco;Masculino;MA;Nordeste;4;1100
31;Funcionário Setor Privado;Ensino Médio Incompleto;9;Solteiro;Negro;Masculino;PI;Nordeste;5;1100
31;Funcionário Setor Privado;Ensino Médio Completo;10;Casado;Branco;Masculino;CE;Nordeste;1;3457
32;Servidor Público;Ensino Médio Completo;13;Solteiro;Branco;Masculino;RN;Nordeste;2;5431
21;Funcionário Setor Privado;Ensino Médio Completo;10;Solteiro;Branco;Masculino;PB;Nordeste;0;3759
63;Funcionário Setor Privado;Ensino Médio Completo;10;Casado;Negro;Masculino;PE;Nordeste;3;2765
44;Funcionário Setor Privado;Ensino Médio Completo;10;Separado;Branco;Masculino;AL;Nordeste;1;3037
42;Autônomo;Ensino Médio Completo;13;Casado;Branco;Masculino;SE;Nordeste;5;2175
23;;Ensino Médio Completo;13;Solteiro;Branco;Masculino;BA;Nordeste;4;3789
30;Funcionário Setor Privado;Ensino Médio Completo;10;Divorciado;Branco;Feminino;MG;Sudeste;1;3258
24;Funcionário Setor Privado;Ensino Médio Incompleto;9;Solteiro;Branco;Masculino;ES;Sudeste;2;1100
42;Funcionário Setor Privado;Ensino Médio Completo;13;Casado;Branco;Masculino;RJ;Sudeste;0;2095
44;Autônomo;Ensino Médio Incompleto;9;Casado;Branco;Feminino;SP;Sudeste;2;1100
27;Funcionário Público;Ensino Médio Completo;13;Solteiro;Negro;Masculino;PR;Sul;0;4395
27;Empresário;Ensino Médio Completo;10;Solteiro;Branco;Masculino;SC;Sul;1;15304
22;Funcionário Setor Privado;Ensino Médio Incompleto;9;Solteiro;Branco;Feminino;RS;Sul;0;1100
68;Aposentado;Ensino Médio Incompleto;9;Solteiro;Branco;Feminino;MS;Centro-Oeste;0;3358
55;Autônomo;Ensino Médio Completo;10;Casado;Branco;Masculino;MT;Centro-Oeste;0;3281
22;Autônomo;Ensino Médio Incompleto;9;Solteiro;Branco;Masculino;GO;Centro-Oeste;2;1100
25;Funcionário Setor Privado;Ensino Médio Completo;10;Casado;Branco;Feminino;DF;Centro-Oeste;4;3440
68;Aposentado;Ensino Médio Incompleto;9;Casado;Branco;Masculino;RO;Norte;3;2287
62;Funcionário Setor Privado;Ensino Médio Completo;10;Viúvo;Branco;Feminino;AC;Norte;5;2091
26;Funcionário Setor Privado;Ensino Médio Incompleto;9;Divorciado;Branco;Masculino;AM;Norte;5;1100
34;Funcionário Setor Privado;Mestrado;14;Casado;Branco;Masculino;RR;Norte;5;8472
68;Aposentado;Ensino Médio Completo;10;Viúvo;Branco;Masculino;PA;Norte;5;1120
42;Empresário;Ensino Médio Completo;13;Separado;Branco;Masculino;AP;Norte;0;7851
45;Funcionário Setor Privado;Ensino Médio Completo;13;Casado;Branco;Masculino;TO;Norte;4;3055
26;Funcionário Setor Privado;Ensino Médio Incompleto;7;Solteiro;Branco;Masculino;MA;Nordeste;5;1100
25;Funcionário Setor Privado;Ensino Médio Incompleto;9;Casado;Branco;Masculino;PI;Nordeste;1;1100
23;Funcionário Setor Privado;Ensino Médio Completo;13;Solteiro;Branco;Masculino;CE;Nordeste;0;2909
29;Funcionário Setor Privado;Ensino Médio Completo;10;Solteiro;Amarelo;Masculino;RN;Nordeste;2;3633
65;Desempregado;Ensino Fundamental Incompleto;4;Viúvo;Branco;Feminino;PB;Nordeste;5;0
31;Funcionário Setor Privado;Ensino Médio Incompleto;9;Solteiro;Branco;Masculino;PE;Nordeste;1;1100
26;Funcionário Setor Privado;Ensino Médio Incompleto;9;Solteiro;Branco;Feminino;AL;Nordeste;2;1100
39;Funcionário Setor Privado;Ensino Médio Completo;10;Casado;Branco;Masculino;SE;Nordeste;2;3007
44;Funcionário Setor Privado;Ensino Médio Incompleto;9;Casado;Branco;Masculino;BA;Nordeste;4;1100
45;Empresário;Mestrado;14;Divorciado;Branco;Feminino;MG;Sudeste;3;9838
26;Autônomo;Mestrado;14;Solteiro;Branco;Feminino;ES;Sudeste;4;6354
26;Funcionário Setor Privado;Ensino Fundamental Completo;6;Casado;Branco;Masculino;RJ;Sudeste;5;1100
36;Funcionário Setor Privado;Ensino Fundamental Completo;5;Casado;Branco;Masculino;SP;Sudeste;3;1100
38;Funcionário Setor Privado;Ensino Médio Incompleto;7;Casado;Branco;Masculino;PR;Sul;5;1100
39;Funcionário Setor Privado;Ensino Médio Incompleto;9;Solteiro;Branco;Masculino;SC;Sul;1;1100
52;MEI;Mestrado;15;Casado;Branco;Masculino;RS;Sul;1;1159
39;Funcionário Setor Privado;Ensino Fundamental Incompleto;2;Casado;Branco;Masculino;MS;Centro-Oeste;5;1100
41;Autônomo;Ensino Médio Completo;10;Divorciado;Branco;Masculino;MT;Centro-Oeste;5;3879
42;Empresário;Mestrado;14;Casado;Branco;Masculino;GO;Centro-Oeste;5;4097
47;Funcionário Setor Privado;Ensino Médio Completo;13;Casado;Branco;Masculino;DF;Centro-Oeste;2;3687
28;Empresário;Ensino Médio Completo;11;Casado;Negro;Masculino;RO;Norte;2;1347
25;Empresário;Ensino Médio Completo;13;Solteiro;Branco;Masculino;AC;Norte;1;3944
35;Funcionário Setor Privado;Ensino Médio Completo;13;Solteiro;Branco;Feminino;AM;Norte;0;3720
32;Funcionário Setor Privado;Ensino Médio Incompleto;9;Separado;Branco;Feminino;RR;Norte;0;1100
38;Funcionário Setor Privado;Mestrado;14;Casado;Negro;Masculino;PA;Norte;5;10026
44;Funcionário Setor Privado;Ensino Médio Completo;10;Casado;Branco;Masculino;AP;Norte;4;3159
21;;Ensino Médio Completo;10;Solteiro;Branco;Feminino;TO;Norte;3;3220
27;Funcionário Setor Privado;Ensino Médio Completo;13;Solteiro;Branco;Feminino;MA;Nordeste;4;3310
30;Funcionário Setor Privado;Ensino Médio Completo;13;Solteiro;Branco;Masculino;PI;Nordeste;4;2137
30;Funcionário Setor Privado;Ensino Médio Completo;13;Solteiro;Branco;Masculino;CE;Nordeste;1;2825
45;Funcionário Setor Privado;Ensino Médio Incompleto;9;Casado;Branco;Masculino;RN;Nordeste;5;1100
20;Funcionário Setor Privado;Ensino Médio Incompleto;9;Solteiro;Branco;Masculino;PB;Nordeste;1;1100
57;Funcionário Setor Privado;Mestrado;14;Solteiro;Branco;Masculino;PE;Nordeste;2;10620
43;Funcionário Setor Privado;Ensino Médio Completo;10;Divorciado;Branco;Masculino;AL;Nordeste;5;3544
50;;Ensino Médio Incompleto;7;Casado;Negro;Feminino;SE;Nordeste;2;1100
28;Funcionário Setor Privado;Ensino Fundamental Incompleto;4;Casado;Pardo;Feminino;BA;Nordeste;1;1100
25;Funcionário Setor Privado;Ensino Médio Incompleto;9;Casado;Branco;Feminino;MG;Sudeste;2;1100
25;Funcionário Setor Privado;Ensino Médio Incompleto;9;Casado;Branco;Masculino;ES;Sudeste;5;1100
90;Aposentado;Ensino Médio Completo;13;Casado;Branco;Masculino;RJ;Sudeste;0;1914
38;Empresário;Ensino Médio Completo;13;Separado;Negro;Masculino;SP;Sudeste;3;7373
35;Funcionário Setor Privado;Ensino Médio Completo;13;União Estável;Branco;Feminino;PR;Sul;1;2733
50;Servidor Público;Ensino Médio Completo;13;Casado;Branco;Masculino;SC;Sul;0;4149
26;Empresário;Ensino Médio Incompleto;9;Solteiro;Branco;Feminino;RS;Sul;1;8589
39;Funcionário Setor Privado;Ensino Médio Completo;10;Casado;Branco;Masculino;MS;Centro-Oeste;3;3547
56;Funcionário Setor Privado;Ensino Fundamental Completo;6;Casado;Branco;Masculino;MT;Centro-Oeste;3;1100
24;Empresário;Ensino Médio Incompleto;9;Divorciado;Negro;Feminino;GO;Centro-Oeste;4;15899
46;Funcionário Setor Privado;Ensino Médio Incompleto;9;Casado;Branco;Feminino;DF;Centro-Oeste;1;1100
18;Empresário;Ensino Médio Incompleto;7;Solteiro;Branco;Feminino;RO;Norte;1;12134
37;Funcionário Setor Privado;Mestrado;14;Casado;Branco;Masculino;AC;Norte;5;8716
57;Funcionário Setor Privado;Mestrado;14;Divorciado;Branco;Feminino;AM;Norte;3;8561
43;Servidor Público;Ensino Médio Incompleto;9;Solteiro;Negro;Feminino;RR;Norte;4;1705
29;Servidor Público;Ensino Médio Completo;13;Casado;Branco;Masculino;PA;Norte;4;5502
40;Funcionário Setor Privado;Mestrado;14;Casado;Branco;Masculino;AP;Norte;1;6905
44;Autônomo;Ensino Médio Completo;13;Casado;Branco;Masculino;TO;Norte;3;2252
77;Aposentado;Ensino Médio Incompleto;9;Casado;Branco;Masculino;MA;Nordeste;3;6400
30;Funcionário Setor Privado;Ensino Médio Completo;13;Solteiro;Negro;Masculino;PI;Nordeste;4;2258
21;Funcionário Setor Privado;Ensino Médio Incompleto;9;Casado;Branco;Masculino;CE;Nordeste;3;1100
66;Aposentado;Ensino Fundamental Completo;6;Casado;Branco;Masculino;RN;Nordeste;0;5275
